,mapper_node_location,ESR1,AR,VDR,KRT5,MKI67,KRT18,MME,SMN1,TP63
GTEX-11WQC-1726-SM-5GU4W,e,-0.214660895849255,-0.663413846457979,-0.222851824367197,0.665038938996079,-0.208613103752904,0.565496184675138,-0.694927884636349,0.854208622724951,-0.089528559487039
GTEX-11WQK-2426-SM-5GU5C,b,-0.625278128303705,-1.29602522279034,-0.155493340027592,-0.840282003566031,-0.248661121371137,-0.718976281241539,-1.15037792653753,0.583056621117784,-0.718550462141741
GTEX-11ZTT-2326-SM-5EQLG,a,-0.582752140268779,0.889174908617746,-0.865506751484861,-0.837280699072664,1.13615717205932,-0.819138079258235,0.911215898591205,-1.57293246483189,-0.71407024915987
GTEX-11ZUS-0826-SM-5FQUY,d,-0.565149808225018,-0.74870976236796,-0.802272255982374,-0.838748003491644,-0.130624858917399,-0.817922154547865,-0.563639165277018,-1.18273812105572,-0.701973674108818
GTEX-1211K-1926-SM-5EQLB,f,-0.44177771106875,0.382984264794823,0.870005217469258,0.027828647226544,-0.269739025380733,-0.440833503744495,0.377940069440933,-0.402349433503386,0.029645105830733
GTEX-1269C-2426-SM-5FQSN,none,-0.209364618951132,-1.38335199384103,0.579951335925243,2.89820956902741,0.356274723704267,0.16515297378595,-0.055628519233696,-0.303147481695886,1.08563130565775
GTEX-12BJ1-1826-SM-5HL9N,c,-0.550974478880043,0.686089394546363,-0.640749359861892,-0.833612438025216,-0.299248090994167,-0.774604836740948,-0.012993522740717,-0.600753337118386,-0.70018158891607
GTEX-12KS4-0126-SM-5Q5A5,c|d,-0.512498584943682,-0.299890776270203,-0.785088969161046,-0.845984482103429,-0.303463671796086,-0.814274380416756,-0.439794651654556,-0.521391775672386,-0.708693993581625
GTEX-12WSK-2226-SM-5GCO5,d,-0.552376434529546,0.059570583636146,0.049331438882637,-0.573766164555035,-0.134840439719319,-0.551786633565721,-0.28910588098096,-0.157651285711552,-0.420616298847313
GTEX-12WSM-1726-SM-5BC6J,c,-0.610168161859061,-1.14117251831091,-0.849698127609239,-0.843483395025623,-0.236014378965379,-0.80333105802343,-0.526869300576724,-0.752862996556554,-0.718102440843554
GTEX-12WSN-1326-SM-5GCNT,c,-0.606273840610441,-1.04927632319361,-0.763094362029747,-0.779822391938537,-0.02312754846846,-0.721104149484686,-0.14112409421168,-0.871905338725554,-0.650899246115488
GTEX-12ZZX-1126-SM-5EGKB,e|g,-0.33694258305591,-0.947225852372737,0.630813864916374,0.833045294969227,-0.410960982245025,0.375811929857482,-0.231582473014243,-0.594139873664553,3.80512058565351
