,mapper_node_location,PTTG1,CDC20,ORC6,KIF2C,UBE2C,MYBL2,MELK,BIRC5,NUF2,CEP55,EXO1,CENPF,NDC80,TYMS,UBE2T,ANLN,CCNB1,RRM2,MKI67,MIA,FOXC1,ACTR3B,CCNE1,PHGDH,SFRP1,MYC,CDH3,KRT5,KRT17,KRT14,EGFR,CDC6,ESR1,BCL2,FOXA1,CXXC5,MLPH,MAPT,SLC39A6,NAT1,BAG1,MDM2,PGR,GPR160,MMP11,BLVRA,FGFR4,GRB7,ERBB2,TMEM45B
GTEX-Y5LM-1726-SM-4VDSX,h,0.35911150153598503,-0.26338205171163537,0.36969059384792824,-0.05002937329606918,-0.3910630659626545,-0.32755185494602,-0.42897688748866053,-0.231730681507023,-0.3417948171930261,-0.48354814093498755,-0.03215311298454852,-0.31243096696401546,-0.3111783896794616,0.6969509343398944,0.4951409543894277,-0.31343100042151883,0.44061556697186366,-0.3821153139708977,-0.42360772465078306,0.6700225151022489,-0.24161722445199627,1.3154693144839196,-0.6615060571358358,-0.034074594205575306,0.5233998959513635,-0.23239796406279137,1.2512381484949666,1.6219882027923203,1.0781123974236024,0.9863620888262623,1.008748796738578,-0.7372999579480506,-0.43430061427140004,-0.07229363368119221,-0.1563047798402685,-1.0250451561879261,-0.06639098207334074,-0.502021163531957,-0.1900240609615075,-0.5024962767522416,-0.012548237825162407,0.6188978349738414,-0.43130359375346383,-0.06295818399497033,-1.1492552193429864,-1.0363804302095905,-0.2192890171863318,0.4188407019023113,-0.4025432219273411,-0.13337649784986141
GTEX-Y5V5-2126-SM-4WWFO,h,-0.016251341479201556,0.28635045367768397,0.21587384748365399,0.5021605006209929,0.016015145954744077,-0.23003282346185144,0.1539813944781228,-0.3439832944864829,-0.08354624617318876,-0.1959655935014378,-0.10021444703943211,0.7083809187987473,-0.0317345426303992,-0.15807648031976737,-0.03791102435000269,0.06529812508781643,0.4600397140843806,-0.33167470106155555,-0.021019758067500494,-0.006004040847223471,0.008322951231546126,0.7587436155316761,-0.2580638771791746,0.386749656637414,0.6419286999531715,0.4924564664900076,0.6532543784431255,1.5914415926153842,1.3363909777005292,1.4311884211106027,1.1914873841214748,0.0530948217389191,-0.3095265614656282,0.9886101370143062,-0.3343012625333388,0.3976050191238089,-0.475205980984255,0.15751384237784719,0.1736612793951659,-0.335277816977171,-0.19912181591951328,-0.36516417520278066,-0.047981599480037516,-0.36108516535645696,-0.12255336953319883,0.0903456556826694,-0.29113618052291707,0.7278517428640555,0.22627422085811788,-0.3785065292071937
GTEX-Y5V6-2126-SM-4WWFX,i,0.1297230974711488,0.126234189972057,1.6002245647621225,0.2531336947368277,0.10853292139051648,1.0312133170667288,1.2680794444590864,0.47920253402955654,0.526859467146427,1.0193025908145306,1.9416255746070759,0.4801248449635954,0.3222276636317465,1.0435836700127303,2.338612380863291,0.20579441358321499,-0.03203867943271461,1.507114914997192,0.7314614150750748,-0.6354080756967322,-0.8117362383286897,-0.13405430412954356,2.439955701280997,-0.13591106771918127,-0.5536614275139785,-0.0958741022773147,-0.6587803860406533,-0.8292772204236853,-0.6764914985242106,-0.7606934080789983,-0.0724545119435612,5.114661391657398,-0.5671748552743007,-0.856350737410404,-0.7468568445023761,-0.04078957926362026,-0.792348919219099,-0.6355855327997223,-0.6262247100356395,0.3684332012429178,1.1728373402398082,2.7673510425892296,-0.7010626743691133,-0.9477221286806726,-0.2158899013340886,2.2481032831859284,-0.3939910669837127,-0.8671244701775805,-0.8243705636073259,-0.4158596768425967
GTEX-Y8E4-1626-SM-5S2MW,c,-0.4854548952481848,-0.6049634142836396,-0.3737570135793974,-0.49394672291566816,-0.46507728631127243,-0.24953662975868518,-0.32533985958345457,-0.47494467629585285,-0.3887491028329966,-0.20524244987026197,-0.644705119478501,-0.48362302234037946,-0.3856967488925449,-0.5047092159926032,-1.0595939836005774,-0.3867334118104224,-0.5823895142873605,-0.20786592392044284,-0.3224337854047225,-0.6192695107005909,-0.3966895962264569,-0.9827215281421098,-0.9136574196087491,-0.3355904275497812,-0.6907668679266108,-0.7848832266535616,-0.6567441189462656,-0.8469182212791428,-0.6770457444046332,-0.7623842953742944,-0.8830962363384663,-0.6613004599012267,-0.5302566898373868,-0.34640601257867604,-0.7545263518356503,0.8974089775966367,-0.8306339272182093,0.11851694624127339,-0.9176165010287303,-0.4049521752167838,-0.07688395440942133,-1.213274884045052,-0.6022138923812809,-0.6592121467179436,-0.744796914872464,0.7849028319176241,-0.4597879428814276,-0.8955794448703421,-0.9361487058218237,-0.6329748474733767
GTEX-Y8LW-1626-SM-5IFHX,d,-0.3811874388550774,-0.3861378538859494,-0.09175964524489456,-0.1907836548827713,-0.3170488456140366,-0.41206834889896615,-0.41602225900050976,-0.13818683735747306,-0.3887491028329966,-0.28873415718967965,-0.5085824513687337,-0.5343465943037465,-0.36706715908927406,-0.06564108414034447,-0.8819099906874341,-0.13017497194925984,-0.718358544074979,-0.33626021132604117,-0.2971403005932074,0.31318091129868125,0.2518777939596695,0.3819353680700967,-0.4597849671575052,-0.34457599874215816,-0.06436707202061608,-0.27120440422784126,0.2870656793024123,0.17155778463112326,-0.2478515907523904,0.06292242175702915,1.14997485114294,-0.8740990544323338,-0.30111482756860986,0.36519245732726074,-0.010903703313613188,0.128086160971226,0.5798175612472813,-0.5902516410409553,-0.31576161460921104,-0.1401896139062553,-0.23531065649815894,1.0267517389768939,-0.3969706198569266,-0.9429136289812938,-0.6825725603385375,-0.7570140993239753,-0.23819616543280162,0.5321613905910285,0.007077458356364713,-0.2127519365750928
GTEX-Y9LG-1426-SM-5IFJZ,c,-0.516735132166117,-0.43950994178782504,-0.1686680184270317,-0.7104917715105945,-0.40031484350623175,-0.38606327383652117,-0.2864759741190024,-0.231730681507023,-0.4826576741129375,-0.30728786992732804,-0.30439844920408293,-0.6484746312213225,-0.6465110061383365,-0.7820154045308719,-0.9929624862581488,-0.46003582319932607,-0.932024162312665,-0.2628920470942707,-0.26552344457881344,-0.6246490323659714,-1.0698861278120564,-0.3648917890609616,-0.20763360468459194,-0.8657391279000239,-0.7334547728352601,-0.2816462977662281,-0.6560653632481365,-0.8442503950628166,-0.677115025139686,-0.7621690915367112,0.2202192758397769,-1.0412979501353468,-0.5822848217189447,-0.5118304407412473,-0.7519698493912256,-1.3005343687932562,-0.8236128011837703,-0.059893853583551704,-0.8371178555717349,0.4520424311304531,-0.2747162829060175,2.5306689843076655,-0.6920078241106858,-0.6568078968682542,-0.48552877098110353,-0.25230255125990825,-0.45903165695156883,-0.8731149911655303,-0.8949948188286545,-0.623636560564526
GTEX-YB5E-1726-SM-5IFJ3,d,-0.6627095711164673,-0.32742855719388614,-0.7070266307019917,-0.5372557326346534,-0.06725085193745109,-0.17802267333696153,-0.32533985958345457,-0.1007692996976531,-0.20093196027311486,-0.2423498753455587,-0.4745517843412919,-0.47094212934953766,-0.18077126105656582,-0.6318078857393098,-0.45991050751871837,-0.18515178049093753,-0.9255494466084927,-0.23537898550735678,-0.2739546061826518,-0.5726469896006273,-0.8436629031057845,-0.6805959963936362,-1.1153785095870796,-0.942615681434805,-0.8719849700227637,-0.40492298118210945,-0.6445265163799397,-0.8431832645762861,-0.6764222177891578,-0.7471970531219988,-0.7879720401665474,-0.6005008614637675,-0.5475474761812579,-0.8290078567223756,-0.7538872262245441,-0.5781214800108584,-0.7458505185004565,-0.7925480397494318,-0.9555373505415298,-0.16109192137813913,-0.8255908561587346,-0.37009505141697996,-0.7044582432160236,-0.4548509094943439,-0.620348205804611,-0.037761556822888905,-0.4423933664946754,-0.8895889238823923,-0.958643838966395,-0.6329748474733767
GTEX-YB5K-1626-SM-5IFIN,b,-0.6627095711164673,0.126234189972057,-0.5788460087317631,-0.558910237494146,-0.2522864028089959,-0.054498566790348014,-0.2994306026071531,-0.3439832944864829,-0.2713633887330705,-0.35367215177144895,-0.44052111731385013,-0.2490265020098066,-0.21803044066310748,-0.5624813386047426,-0.6820154986601477,-0.3378651375511534,-0.4075721902747083,-0.23996449577184242,-0.1706728765356317,-0.11538764804329193,-0.9066040422377715,-0.3614971201649113,0.04451775778832133,0.7911003602943789,-0.4224742075508125,-0.7844156791816935,-0.38592059539270757,-0.6556684293962518,-0.6344380923471467,-0.7021887076617546,0.38585219636719703,-0.5701010622450378,-0.44769707936665143,0.32076027620921477,0.08336732432454794,1.1336644323696288,-0.45904414369743335,-0.3743063286846779,0.010446394942414908,0.17334499817200208,0.7377670568387573,0.16103075794105373,-0.46261828423052526,-0.4428296602458969,-0.6410896573159198,0.5734487582638712,-0.27827931971531755,-0.6879080506214155,-0.35842486002364693,-0.4228633920242348
GTEX-YEC3-1026-SM-5IFI5,d,-0.5584421147233599,0.1582574427131824,-0.5788460087317631,-0.5480829850643998,-0.26153818035257315,-0.3730607363052987,-0.04033803284413831,-0.41881836980612286,-0.08354624617318876,-0.07536646070672338,-0.1682757810943157,-0.6104319522487972,-0.44158551830235737,-0.8397875271430113,0.1619834676772837,-0.3256480689863361,-0.32987560182464065,-0.31333266000361293,-0.23601437896537913,-0.631821727919812,-0.8226825233951222,-1.1456656351525225,0.1958085752720693,-0.7863665823673606,-0.688081749389353,-0.5710581828525639,-0.6601378974369118,-0.8398151339781742,-0.676768621464422,-0.7642596431018045,-0.018634243056817632,-0.8132994559948746,-0.5889830542665704,0.18678016083787602,-0.7545263518356503,-0.7759960847304762,-0.7655891558425583,0.213571880574172,-0.6670284311488273,0.3963029445387629,-0.1090518127015508,0.33783789076448406,-0.7104948100549752,-0.30097891911422175,-1.0040650587638245,-0.3310190312332031,-0.45449394137241605,-0.892084974294038,-0.9157461432023288,-0.6329748474733767
GTEX-YFC4-1426-SM-5IFJG,none,0.09844286055321656,0.1102225636014943,1.010593703699071,0.469678743331754,0.6173806862872647,0.08852934605309923,0.07625362354921836,0.5353288405192865,0.4094737530465008,-0.028982178862602452,0.716521561619171,1.8686826274607697,-0.06899372223694086,0.8587128776538845,0.9615614357864293,0.016429850828547362,1.0039158332348543,0.0626791816842108,0.246669622854368,5.8666404438597315,-0.34834350384971324,0.5211167928081576,0.2714539840139433,0.29040436551914955,0.8483540372970506,-1.107335133085241,1.9557865631530953,0.5112721054525725,0.0076557601224234,0.2888864512193211,0.05083145283188628,0.2050938178325671,0.3291421233079856,2.9019282131590867,1.176911244927217,1.9993658280179567,1.6397426442953127,0.05417206761592663,2.7267767205697884,0.41720525201064673,0.5343053531410384,0.15116900551265525,8.203250698511924,0.9708692513714753,2.0345575876429205,0.35273392226031897,-0.1731555754649455,0.6359970877154918,2.1104595978123286,0.16778325496057542
GTEX-YFCO-1826-SM-4W1YH,d,-0.4750281496088741,-0.0018588209924446028,-0.34812088918535167,-0.24491991703150287,-0.3910630659626545,-0.2755417048211301,-0.11806580377304275,-0.28785698799675297,-0.29484053155305573,-0.03825903523142664,-0.13424511406687392,-0.33779275294569905,-0.3111783896794616,-0.1638536925809813,0.18419396679142663,-0.2523456575974325,0.01328433049649153,-0.001517962018588374,-0.2149364749557832,-0.5977514240390692,-0.6876783409091212,0.16467655872287976,0.22102371151936062,-0.743934718403358,-0.5228647618417566,1.3706664678155338,-0.6509746955121672,-0.8340793076130726,-0.676768621464422,-0.763368084346103,2.0000430515827854,-0.20530347162028253,-0.3469120454523763,1.0631194868891833,-0.7503720353634601,-0.1764019161188756,-0.563036293452802,0.016150093882767187,-0.5965089566162528,1.0373070403432003,2.2094465737036804,2.556732187154147,-0.6667297004725761,0.25440279616403155,-0.5373823997593756,2.8485093755312563,-0.4242425041780644,-0.8746126214125177,-0.613195321451699,-0.616632845382888
GTEX-YJ8O-2226-SM-5IFHW,d|f,-0.4020409301336989,-0.22068438139013483,-0.11739576963894027,-0.24491991703150287,-0.3910630659626545,-0.3015467798835751,0.03738973808476614,-0.3065657568266629,-0.17745481745312963,-0.22379616260791035,-0.4064904502864083,0.023612697293291542,0.6389306902873505,-0.054086659617916616,-0.3044370137197179,0.05308105652299916,-0.5305917886539822,-0.3041616394746416,-0.13273264931835901,-0.567267467935247,2.4529932827348073,-0.6059132806805304,0.09494803028290398,0.7252061715502809,-0.5229743585167467,-0.1240827997466883,-0.6044799301903159,-0.8394483078734293,-0.675937252643788,-0.7609086119165814,-0.05430581662128721,0.0682947213482839,-0.43897379976974354,-0.3915217657139227,-0.749732909752354,0.3805468635445315,-0.6323202352643407,-0.510308003960979,-0.7648243062081522,-0.2028965363219068,-0.6285627241194416,-0.3419186159072699,-0.08797385478809183,-0.2769364206173277,0.7796997712087358,0.3774292885264507,-0.4423933664946754,-0.8756110415771761,-0.6761468180810807,-0.6376439909278021
GTEX-ZA64-1526-SM-5CVMD,b|c,-0.6835630623950888,-0.6316494582345774,-0.3737570135793974,-0.623873752072624,-0.5020843964855815,-0.41856961766457734,-0.5196592869057157,-0.5310709827855828,-0.7409062451327748,-0.40933328998439406,-0.44052111731385013,-0.6865173101938479,-0.8700660837775864,-0.8513419516654391,-1.0818044827147204,-0.5027955631761865,-0.8543275738625974,-0.405042865293326,-0.4004220302402275,-0.6425807712505728,-1.0908665075227186,-0.5414145716555754,-0.7371514658777097,-1.1158375260878504,-0.8107204287032902,0.026623335352119828,-0.6536897183046841,-0.8416492645018985,-0.677115025139686,-0.7623535519689254,0.24900686152338392,-0.7372999579480506,-0.5782347276203803,-1.4565269685126254,-0.7538872262245441,-1.276652950982268,-0.7865200598697535,-0.49324686190122796,-0.9810396762372722,-0.6279101215835445,-0.4082128948183548,0.24908211890889753,-0.7327546502736091,-1.2939341070359474,-0.4647873194697947,0.1428233089981993,-0.45676279916199247,-0.8860944533060883,-0.9820108764964148,-0.6469822778366529
GTEX-ZAB4-2526-SM-5HL8M,b,0.161003334389081,-0.38080064509576184,-0.5532098843377173,-0.35319244132896604,-0.2522864028089959,0.10803315234993295,-0.32533985958345457,-0.32527452565657294,-0.6939519594928044,-0.3165647262961522,-0.20230644812175752,-0.7245599891663732,-0.5533630571219823,-0.7242432819187327,-0.904120489801577,-0.3684078089631965,-0.5435412200623267,-0.20786592392044284,-0.210720894153864,-0.6300285540313517,-0.9631598484143394,-0.3648917890609616,0.4731750739922739,-0.828798446331363,-0.8115972021032111,-0.741401311769831,-0.6533503404556196,-0.8438502211303677,-0.6703255131045093,-0.7329013696254049,-0.3484398442581416,-0.8892989540416987,-0.49442893435008656,1.4773641293128121,-0.7503720353634601,-0.8527577848372245,-0.8512998830931615,-0.49568416790976383,-0.729121050234113,-0.7184867872950411,1.0401449247847743,-1.1153617706488097,-0.6071186029379291,1.0141457486658847,0.6345096106295739,2.184821407128966,-0.43029279161693473,-0.8796047222358092,-0.9630033608936376,-0.623636560564526
GTEX-ZAJG-0626-SM-5HL8X,g|h,0.2548440451428777,-0.31141693082332345,-0.5275737599436716,1.0435231221083088,0.08077758875978476,-0.015490954196680583,-0.06624728982043979,-0.17560437501729304,-0.22440910309310005,-0.16813502439496522,-0.13424511406687392,-0.31243096696401546,-0.3484375692860033,0.14811576952457098,-0.7042259977742906,-0.22180298618538935,-0.5823895142873605,-0.024445513341016648,-0.07160672769053077,0.18586556521801137,-0.23523189149657728,0.8334263312447819,0.04451775778832133,-0.5352697873803811,0.20266522659279587,-0.557966853640258,1.0605077973206565,0.9569991705452878,1.1591015767003534,0.7673460689773687,0.21750740182610379,-0.26610307005774175,-0.4743342367072095,-0.9493165317497002,-0.2655952593394248,-0.9823997672397328,-0.30497679316814197,-0.4713111078244052,-0.5020394718650681,-0.8996401187180343,-0.3744366436116189,-1.1414249734952915,-0.5301523757412963,-0.9236796301837785,-0.4647873194697947,-1.1999872317227132,-0.12626584781370043,1.4502087319943362,0.07717857094642419,-0.07034306121511881
GTEX-ZC5H-2626-SM-5J2MG,none,0.3486847558966743,1.5726177721128876,1.2925910720335738,0.4480242384722614,0.33057558243637025,0.42659532186488364,-0.027383404355987566,0.17986223275099672,-0.1539776746331444,-0.10319702981319594,-0.1682757810943157,0.334294575568915,0.4340052024513715,0.9569254860945213,0.6506144481884282,0.1691432078887632,1.8909518847064601,0.08102122274215341,0.0970165043862368,3.678968299938362,3.2684915201840297,3.382822672178531,0.17059343902477797,2.4699045780701474,5.051550918180395,2.308254998068305,6.374486157974306,1.0082547817264567,-0.0666131878542036,2.8780345645873897,0.43007660335940495,0.524291709629228,0.06541868835146653,2.0283231751765824,0.819320465513311,1.1140475534534597,0.4150198105521493,0.5455329589367564,2.8374346381539226,-0.537333455872048,1.9408449569643993,-0.1031233249624776,0.2968572811950724,0.5717637763230334,0.6033974333626106,0.4515153873248458,-0.027948676932057482,3.7161232956863506,2.602911194713642,0.3405415627743144
